fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
01001,169.24,83.36,158.17,TRUE,TRUE,TRUE
01021,170.18,32.19,242.31,TRUE,TRUE,TRUE
01033,192.94,31.9,256.04,TRUE,FALSE,FALSE
01061,164.06,29.89,260.15,TRUE,FALSE,FALSE
01081,186.56,51.58,330.72,TRUE,FALSE,FALSE
01083,163.66,34.35,169.51,FALSE,FALSE,TRUE
01089,214.89,19.8,365.75,TRUE,FALSE,TRUE
01097,260.72,16.3,260.63,FALSE,TRUE,FALSE
01101,276.86,96.82,257.31,TRUE,TRUE,TRUE
01103,227.93,26.4,266.07,FALSE,TRUE,TRUE
01113,160.51,95.5,230.86,TRUE,TRUE,FALSE
01115,242.11,15.02,135.57,FALSE,TRUE,TRUE
02020,459.57,55.94,1797.25,TRUE,FALSE,FALSE
02090,87.96,23.46,166.33,FALSE,FALSE,FALSE
02170,115.37,19.25,17.18,FALSE,FALSE,FALSE
04005,240.62,28.25,273.68,TRUE,FALSE,FALSE
04019,354.27,18.26,498.97,FALSE,FALSE,TRUE
04021,285.82,13.39,317.66,FALSE,FALSE,TRUE
04025,240.09,15.58,290.82,FALSE,FALSE,FALSE
04027,200.77,24.48,265.84,FALSE,FALSE,TRUE
05031,170.6,22.02,134.33,FALSE,FALSE,FALSE
05051,172.64,71.19,68.42,TRUE,FALSE,FALSE
05069,249.77,63,180.26,TRUE,TRUE,FALSE
05119,282.33,24.9,327.92,TRUE,TRUE,FALSE
05125,103.86,36.77,159.17,TRUE,TRUE,FALSE
05131,196.84,43.58,247,TRUE,TRUE,TRUE
05143,192.34,18.23,150.07,FALSE,FALSE,TRUE
06001,449.2,10.97,974.48,FALSE,TRUE,TRUE
06007,234.84,20.84,556.15,FALSE,FALSE,FALSE
06013,394.4,8.46,788.27,FALSE,TRUE,TRUE
06017,272.71,43.35,695.05,TRUE,TRUE,FALSE
06025,299.14,21.57,457.57,FALSE,TRUE,TRUE
06029,253.19,9.97,639.63,FALSE,TRUE,TRUE
06031,217.44,29.78,570.52,TRUE,FALSE,FALSE
06039,180.91,34.12,413.45,TRUE,TRUE,TRUE
06041,381.97,16.03,1333.22,FALSE,TRUE,TRUE
06047,241.42,18.01,424.71,FALSE,FALSE,FALSE
06053,337.49,11.76,580.98,FALSE,TRUE,TRUE
06069,245.25,50.82,656.75,TRUE,FALSE,TRUE
06075,493.34,49.32,1892.41,TRUE,TRUE,TRUE
06077,340.16,17.07,510.39,FALSE,FALSE,FALSE
06079,299.32,14.21,909,FALSE,FALSE,FALSE
06081,473.37,8.37,1080.59,FALSE,TRUE,TRUE
06085,355.86,9.48,1009.96,FALSE,FALSE,TRUE
06087,364.28,22.7,783.55,FALSE,FALSE,TRUE
06095,448.14,15.03,773.31,FALSE,FALSE,FALSE
06097,365.87,13.26,864.12,FALSE,FALSE,FALSE
06101,259.97,89.09,572.65,TRUE,FALSE,FALSE
06107,247.08,19.37,452.6,FALSE,FALSE,FALSE
06113,310.62,26.39,720.03,FALSE,TRUE,FALSE
06115,269.43,41.95,349.61,TRUE,FALSE,FALSE
08001,245.13,25.13,391.29,FALSE,TRUE,TRUE
08014,281.74,168.14,686.11,TRUE,TRUE,TRUE
08031,376.87,116.91,599.15,TRUE,TRUE,TRUE
08041,251.73,21.65,132.27,FALSE,FALSE,FALSE
08059,332.02,33.34,425.73,FALSE,TRUE,TRUE
08069,233.77,23.56,449.35,FALSE,FALSE,FALSE
08077,508.44,30.11,350.39,FALSE,FALSE,FALSE
08101,257.76,86.75,427.01,TRUE,FALSE,FALSE
09007,188.1,123.62,2890.04,TRUE,TRUE,TRUE
09011,242.89,14.89,2263.85,FALSE,FALSE,TRUE
11001,949.57,317.45,3162.78,TRUE,TRUE,TRUE
12003,203.45,153.78,271.4,TRUE,TRUE,FALSE
12005,380.48,26.1,466.79,FALSE,FALSE,FALSE
12009,288.05,14.96,566.44,FALSE,FALSE,FALSE
12011,614.54,12.51,790.03,FALSE,TRUE,FALSE
12015,406.57,94.32,752.5,TRUE,FALSE,FALSE
12019,254.25,54.07,354.46,TRUE,TRUE,FALSE
12021,508.01,70.45,944.75,TRUE,TRUE,TRUE
12033,262.89,45.79,428.37,TRUE,FALSE,FALSE
12039,226.31,41.6,314.48,TRUE,FALSE,FALSE
12053,210.36,77.21,344.53,TRUE,TRUE,TRUE
12057,326.51,30.81,585.99,FALSE,TRUE,TRUE
12069,263.62,15.14,456.58,FALSE,FALSE,FALSE
12071,291.7,26.58,634.43,FALSE,TRUE,FALSE
12073,336.42,56.68,594.71,TRUE,FALSE,FALSE
12085,370.26,78.62,1072.2,FALSE,FALSE,FALSE
12086,451.11,7.23,1017.67,FALSE,TRUE,TRUE
12095,332.1,17.64,684.67,FALSE,FALSE,FALSE
12097,295.68,63.36,568.92,TRUE,FALSE,FALSE
12099,484.39,8.92,1026.14,FALSE,TRUE,TRUE
12101,227.43,24.16,380.68,TRUE,TRUE,TRUE
12103,450.26,16.69,649.84,FALSE,TRUE,TRUE
12105,283.52,17.08,431.3,FALSE,FALSE,FALSE
12109,353.86,51.14,669.76,TRUE,TRUE,FALSE
12111,337.74,71.64,645.38,TRUE,FALSE,FALSE
12113,232.15,46.57,321.09,FALSE,FALSE,FALSE
12117,284.58,24.58,560.79,FALSE,FALSE,FALSE
12127,346.44,16.37,667.59,FALSE,TRUE,TRUE
13013,192.56,65.79,302.44,TRUE,TRUE,TRUE
13021,281.76,105.18,592.58,TRUE,TRUE,FALSE
13029,249.44,68.42,420.38,TRUE,FALSE,FALSE
13045,205.39,28.45,304.93,FALSE,TRUE,TRUE
13047,130.44,55.86,203.16,TRUE,TRUE,FALSE
13051,425.28,25.89,814.05,FALSE,FALSE,FALSE
13057,133.21,33.82,390.07,FALSE,TRUE,TRUE
13059,250.47,85,439.61,TRUE,FALSE,TRUE
13063,300.86,28.4,553.19,TRUE,TRUE,TRUE
13067,249.39,15.63,508.05,FALSE,TRUE,TRUE
13073,167.66,56.23,240.47,TRUE,FALSE,FALSE
13077,170.05,42.21,385.74,TRUE,TRUE,TRUE
13089,206.02,16.19,559.2,FALSE,TRUE,TRUE
13095,273.02,86.14,531.84,TRUE,TRUE,FALSE
13097,179.15,113.54,357.16,TRUE,TRUE,TRUE
13103,159.25,40.29,357.75,FALSE,FALSE,FALSE
13113,246.94,60.51,540.05,FALSE,TRUE,TRUE
13115,169.52,63.67,493.99,TRUE,FALSE,TRUE
13117,175.06,65.25,404.43,FALSE,TRUE,TRUE
13121,355.32,16.68,1059.01,FALSE,TRUE,TRUE
13127,306.19,66.26,501.86,TRUE,TRUE,TRUE
13135,202.84,12.79,492.68,FALSE,TRUE,TRUE
13139,149.2,34.12,389.42,FALSE,FALSE,TRUE
13143,192.48,74.13,431.54,TRUE,TRUE,TRUE
13145,130.91,59.61,332.64,FALSE,TRUE,FALSE
13151,159.04,39.97,344.32,FALSE,TRUE,TRUE
13153,212.92,47.1,502.77,TRUE,FALSE,FALSE
13169,151.14,97.56,449.82,TRUE,TRUE,FALSE
13177,166.38,133.86,473.92,TRUE,TRUE,FALSE
13179,205.24,78.19,357.36,TRUE,FALSE,FALSE
13195,86.69,63.47,341.9,TRUE,FALSE,TRUE
13207,245.53,125.72,684.49,FALSE,TRUE,FALSE
13213,102.21,46.58,230.47,TRUE,FALSE,TRUE
13215,269.89,106.95,552.15,TRUE,TRUE,FALSE
13217,170.59,52.21,358.96,FALSE,TRUE,TRUE
13219,128.85,76.99,370.62,FALSE,FALSE,TRUE
13223,126.9,46.05,300.23,TRUE,TRUE,TRUE
13227,194.04,96.22,401.26,TRUE,TRUE,TRUE
13245,220.16,52.03,316.06,TRUE,FALSE,FALSE
13247,208.82,123.9,464.92,TRUE,TRUE,TRUE
13255,255.12,164.05,548.36,TRUE,TRUE,TRUE
13295,140.74,35.81,167.36,TRUE,TRUE,FALSE
13297,202.42,59.19,509.79,TRUE,TRUE,TRUE
13313,166.76,51.61,273.17,TRUE,FALSE,TRUE
15003,272.65,195.95,914.68,TRUE,FALSE,FALSE
16019,191.88,70.65,536.25,TRUE,FALSE,FALSE
16069,274.79,70.84,798.91,TRUE,FALSE,FALSE
17007,193.59,77.34,321.9,FALSE,TRUE,FALSE
17037,265.85,20.28,476.18,FALSE,TRUE,TRUE
17043,350.32,6,385.89,FALSE,TRUE,TRUE
17063,223.02,43.21,564.72,FALSE,TRUE,TRUE
17073,251.87,32.43,375.73,FALSE,FALSE,FALSE
17117,220.46,23.4,144.24,FALSE,TRUE,FALSE
17119,267.25,9.54,401.39,FALSE,TRUE,FALSE
17133,190.23,31.9,404.44,FALSE,TRUE,FALSE
17161,318.03,22.47,551.09,FALSE,FALSE,FALSE
17179,248.24,12.67,250.09,FALSE,TRUE,FALSE
17201,351.68,19.51,394.36,FALSE,TRUE,FALSE
18163,277.34,111.41,678.83,TRUE,FALSE,FALSE
19061,221.02,60.88,753.11,TRUE,FALSE,FALSE
19163,239.79,20.11,920.73,FALSE,FALSE,FALSE
20045,220.83,40.9,659.09,TRUE,FALSE,FALSE
20079,196.44,26.25,538.42,FALSE,TRUE,TRUE
20121,174.69,48.04,723.07,TRUE,TRUE,TRUE
20173,243.29,9.96,647.83,FALSE,TRUE,TRUE
20177,300.62,53.05,692.85,FALSE,FALSE,TRUE
20209,356.03,48.83,660.45,TRUE,TRUE,TRUE
21015,135.04,75.6,189.6,TRUE,TRUE,FALSE
21019,127.62,54.05,225.19,TRUE,FALSE,FALSE
21047,177.53,38.88,170.53,TRUE,FALSE,FALSE
21049,119.1,59.12,142.72,TRUE,FALSE,FALSE
21059,164.72,69.89,203.9,TRUE,FALSE,FALSE
21067,169.62,41.99,306.22,TRUE,FALSE,FALSE
21089,110.46,18.77,224.42,FALSE,FALSE,FALSE
21101,145.76,84.12,258.33,TRUE,FALSE,FALSE
21113,167.73,57.5,165.67,TRUE,FALSE,FALSE
21163,44.17,16.23,132.81,FALSE,TRUE,FALSE
21179,86.57,27.3,166.82,FALSE,TRUE,FALSE
21209,121.4,51.68,118.94,TRUE,FALSE,FALSE
21211,94.3,37.06,167.14,FALSE,TRUE,FALSE
21227,181.56,35.52,208.06,FALSE,FALSE,FALSE
21239,253.92,93.78,114.86,TRUE,FALSE,FALSE
22005,224.3,112.15,415.33,TRUE,TRUE,FALSE
22015,375.97,129.62,407.55,TRUE,TRUE,FALSE
22019,342.06,57.7,601.65,TRUE,TRUE,FALSE
22031,316.79,128.06,1075.2,TRUE,TRUE,FALSE
22033,332.17,43.34,398.31,TRUE,TRUE,FALSE
22047,452.48,82.59,635.22,TRUE,TRUE,FALSE
22051,261.02,52.34,608.16,TRUE,TRUE,FALSE
22055,302.13,49.44,488.02,TRUE,FALSE,FALSE
22057,290.57,90.85,518.92,FALSE,FALSE,FALSE
22063,155.36,21.95,238.47,FALSE,TRUE,FALSE
22071,416.18,128.83,742.69,TRUE,TRUE,FALSE
22079,355.24,88.44,358.59,TRUE,TRUE,FALSE
22087,324.73,428.66,328.36,TRUE,TRUE,FALSE
22089,382.42,552.1,1191.69,TRUE,TRUE,FALSE
22095,295.15,341.78,680.5,TRUE,TRUE,FALSE
22099,246.14,51.33,352.43,TRUE,FALSE,FALSE
22109,267.27,167.11,536.99,TRUE,FALSE,FALSE
22121,463.84,213.85,727.18,TRUE,TRUE,FALSE
23001,141.06,24.21,1239.53,FALSE,TRUE,FALSE
23031,185.07,10.28,1227.99,FALSE,FALSE,FALSE
24001,135.48,30.8,859.95,TRUE,TRUE,FALSE
24003,229.56,51.43,1294.65,TRUE,TRUE,FALSE
24005,277.6,73.49,1141.33,TRUE,TRUE,FALSE
24009,186.33,121.51,1850.79,TRUE,TRUE,TRUE
24013,147.2,12.53,1474.63,FALSE,TRUE,FALSE
24015,199.74,25.49,1254.29,TRUE,FALSE,TRUE
24021,244.39,34.09,1633.27,TRUE,FALSE,TRUE
24025,284.26,38.93,1426.24,FALSE,TRUE,FALSE
24027,300.67,137.46,2051.28,TRUE,TRUE,FALSE
24031,309.71,31.63,2183.08,FALSE,FALSE,TRUE
24033,301.32,9.52,1392.69,FALSE,TRUE,TRUE
24039,188.54,48.91,819.8,FALSE,FALSE,FALSE
24045,247.01,26.2,915.34,TRUE,FALSE,FALSE
24510,664.11,80.74,1365.19,TRUE,TRUE,FALSE
25011,138.46,11.64,1998.39,FALSE,TRUE,TRUE
25013,221.47,15.76,1635.69,FALSE,TRUE,TRUE
25015,219.19,13.13,1573.51,FALSE,TRUE,TRUE
25017,205.61,3.3,2596.97,FALSE,FALSE,TRUE
25021,215.21,6.85,2617.8,FALSE,TRUE,TRUE
25025,484.19,41.32,2628.82,TRUE,TRUE,TRUE
25027,181.61,3.22,1769.61,FALSE,FALSE,TRUE
26015,98.51,17.53,399.72,FALSE,TRUE,TRUE
26045,159.43,19.42,465.24,FALSE,TRUE,FALSE
26115,137.31,15.93,544.96,FALSE,FALSE,FALSE
26163,418.72,6.57,790.81,FALSE,TRUE,TRUE
27003,218.14,11.62,859.51,FALSE,FALSE,TRUE
27025,184.06,32.85,911.46,FALSE,FALSE,TRUE
27037,234.78,10.65,860.28,FALSE,FALSE,TRUE
27053,362.37,5.9,1342.91,FALSE,FALSE,TRUE
27109,242.29,61.62,951.75,TRUE,FALSE,FALSE
28029,180.46,45.17,409.25,FALSE,TRUE,TRUE
28033,247.14,42.06,653.12,TRUE,TRUE,TRUE
28035,220.39,108.56,659.5,TRUE,FALSE,FALSE
28045,187.21,79.66,520.68,TRUE,FALSE,FALSE
28047,325.39,47.14,621.94,TRUE,FALSE,FALSE
28049,232.01,50.66,606.69,TRUE,TRUE,TRUE
28073,166.1,53.67,458.37,FALSE,FALSE,FALSE
28089,228.15,59.6,648.09,FALSE,TRUE,TRUE
28093,155.14,42.05,448.86,TRUE,TRUE,TRUE
28121,197.52,29.46,424.18,FALSE,TRUE,TRUE
28127,99.24,47.66,365.56,FALSE,TRUE,TRUE
28137,166.28,68.81,425.74,FALSE,TRUE,TRUE
29021,349.8,72.32,232.4,TRUE,FALSE,FALSE
29027,178.75,30.77,135.7,TRUE,FALSE,FALSE
29043,114.13,23.2,43.25,FALSE,FALSE,FALSE
29051,343.14,74.53,286.34,FALSE,FALSE,FALSE
29071,197.33,27.15,129.92,FALSE,TRUE,FALSE
29077,288.3,17.03,147.48,FALSE,FALSE,FALSE
29095,493.58,19.29,381.43,FALSE,TRUE,TRUE
29099,180.08,14.53,78.48,FALSE,TRUE,FALSE
29107,166.18,28.21,99.15,FALSE,TRUE,TRUE
29113,138.82,26.23,119.86,FALSE,TRUE,FALSE
29145,69.86,25.54,34.66,TRUE,FALSE,FALSE
29219,143.44,40.25,116.3,TRUE,TRUE,FALSE
29221,95.1,62,61.27,TRUE,TRUE,FALSE
29225,77.87,24.28,35.42,FALSE,FALSE,FALSE
29510,882.42,427.49,261.46,TRUE,TRUE,FALSE
30013,318.1,71.3,628.03,TRUE,FALSE,FALSE
